ID,英語名,タイプ（日本語）,特性（日本語）,重さ,HP,攻撃,防御,特攻,特防,素早さ,覚える技一覧（日本語）,画像URL
162,furret,ノーマル,"にげあし, するどいめ, おみとおし",325,85,76,64,45,55,90,"ほのおのパンチ, れいとうパンチ, かみなりパンチ, ひっかく, いあいぎり, たたきつける, ずつき, のしかかり, とっしん, すてみタックル, なきごえ, かえんほうしゃ, なみのり, れいとうビーム, ふぶき, はかいこうせん, かいりき, ソーラービーム, １０まんボルト, かみなり, あなをほる, どくどく, こうそくいどう, でんこうせっか, ものまね, かげぶんしん, まるくなる, きあいだめ, スピードスター, ドわすれ, みだれひっかき, ねむる, いかりのまえば, きりさく, みがわり, どろぼう, いびき, のろい, きしかいせい, まもる, どろかけ, みやぶる, みきり, こらえる, あまえる, ころがる, いばる, れんぞくぎり, メロメロ, ねごと, おんがえし, やつあたり, ばくれつパンチ, バトンタッチ, アイアンテール, めざめるパワー, あまごい, にほんばれ, シャドーボール, いわくだき, うずしお, さわぐ, からげんき, きあいパンチ, このゆびとまれ, てだすけ, トリック, かわらわり, はたきおとす, がむしゃら, ひみつのちから, ハイパーボイス, ほしがる, でんげきは, みずのはどう, しぜんのめぐみ, とんぼがえり, なげつける, さきどり, とっておき, ふいうち, アクアテール, タネばくだん, きあいだま, ギガインパクト, シャドークロー, しねんのずつき, ゆうわく, くさむすび, チャージビーム, つめとぎ, とぐろをまく, りんしょう, エコーボイス, かたきうち, ふるいたてる, じゃれつく, ないしょばなし, つぶらなひとみ, グロウパンチ, ぶんまわす, テラバースト, おかたづけ, くさわけ, ひやみず",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/162.png
163,hoothoot,"ノーマル, ひこう","ふみん, するどいめ, いろめがね",212,60,30,30,36,56,50,"つばさでうつ, ふきとばし, そらをとぶ, たいあたり, とっしん, すてみタックル, なきごえ, ちょうおんぱ, サイケこうせん, つつく, どくどく, ねんりき, サイコキネシス, さいみんじゅつ, こうそくいどう, ナイトヘッド, ものまね, いやなおと, かげぶんしん, あやしいひかり, くろいきり, リフレクター, オウムがえし, スピードスター, ドわすれ, ゆめくい, ゴッドバード, フラッシュ, ねむる, みがわり, どろぼう, あくむ, いびき, のろい, うらみ, まもる, だましうち, どろかけ, みやぶる, みきり, こらえる, いばる, はがねのつばさ, くろいまなざし, メロメロ, ねごと, おんがえし, やつあたり, めざめるパワー, たつまき, あまごい, にほんばれ, じこあんじ, シャドーボール, さわぐ, ねっぷう, からげんき, マジックコート, リサイクル, スキルスワップ, ふういん, ひみつのちから, フェザーダンス, ハイパーボイス, エアカッター, ぎんいろのかぜ, じんつうりき, つばめがえし, めいそう, はねやすめ, しぜんのめぐみ, ついばむ, おいかぜ, サイコシフト, エアスラッシュ, ブレイブバード, わるだくみ, しねんのずつき, きりばらい, ゆうわく, あやしいかぜ, シンクロノイズ, りんしょう, エコーボイス, アシストパワー, アクロバット, ふるいたてる, ぼうふう, ムーンフォース, ないしょばなし, ダブルウイング, テラバースト",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/163.png
164,noctowl,"ノーマル, ひこう","ふみん, するどいめ, いろめがね",408,100,50,50,86,96,70,"つばさでうつ, ふきとばし, そらをとぶ, たいあたり, のしかかり, とっしん, すてみタックル, なきごえ, ちょうおんぱ, サイケこうせん, はかいこうせん, つつく, どくどく, ねんりき, サイコキネシス, さいみんじゅつ, こうそくいどう, ナイトヘッド, ものまね, いやなおと, かげぶんしん, あやしいひかり, くろいきり, リフレクター, スピードスター, ドわすれ, ゆめくい, ゴッドバード, フラッシュ, ねむる, みがわり, どろぼう, あくむ, いびき, のろい, うらみ, まもる, こわいかお, どろかけ, みやぶる, みきり, こらえる, いばる, はがねのつばさ, メロメロ, ねごと, おんがえし, やつあたり, めざめるパワー, たつまき, あまごい, にほんばれ, じこあんじ, シャドーボール, みらいよち, さわぐ, ねっぷう, からげんき, マジックコート, リサイクル, スキルスワップ, ふういん, ひみつのちから, フェザーダンス, ハイパーボイス, エアカッター, ぎんいろのかぜ, じんつうりき, つばめがえし, めいそう, はねやすめ, しぜんのめぐみ, ついばむ, おいかぜ, サイコシフト, エアスラッシュ, ブレイブバード, ギガインパクト, わるだくみ, しねんのずつき, きりばらい, ゆうわく, あやしいかぜ, シンクロノイズ, りんしょう, エコーボイス, アシストパワー, アクロバット, ふるいたてる, ぼうふう, ムーンフォース, ないしょばなし, とぎすます, ダブルウイング, テラバースト, サイコノイズ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/164.png
165,ledyba,"むし, ひこう","むしのしらせ, はやおき, びびり",108,40,20,30,40,80,55,"れんぞくパンチ, メガトンパンチ, れいとうパンチ, かみなりパンチ, つるぎのまい, ずつき, たいあたり, すてみタックル, ちょうおんぱ, サイケこうせん, カウンター, ソーラービーム, いとをはく, あなをほる, どくどく, こうそくいどう, ものまね, いやなおと, かげぶんしん, ひかりのかべ, リフレクター, がまん, スピードスター, ピヨピヨパンチ, フラッシュ, ねむる, みがわり, どろぼう, いびき, のろい, まもる, マッハパンチ, ギガドレイン, こらえる, ころがる, いばる, メロメロ, ねごと, おんがえし, やつあたり, しんぴのまもり, ばくれつパンチ, バトンタッチ, アンコール, あまいかおり, めざめるパワー, にほんばれ, さわぐ, からげんき, きあいパンチ, かわらわり, はたきおとす, ひみつのちから, エアカッター, ぎんいろのかぜ, つばめがえし, はねやすめ, しぜんのめぐみ, おいかぜ, とんぼがえり, なげつける, エアスラッシュ, むしのさざめき, ドレインパンチ, ゆうわく, むしくい, あやしいかぜ, りんしょう, アクロバット, むしのていこう, ないしょばなし, まとわりつく, グロウパンチ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/165.png
166,ledian,"むし, ひこう","むしのしらせ, はやおき, てつのこぶし",356,55,35,50,55,110,85,"れんぞくパンチ, メガトンパンチ, れいとうパンチ, かみなりパンチ, つるぎのまい, ずつき, たいあたり, すてみタックル, ちょうおんぱ, はかいこうせん, かいりき, ソーラービーム, いとをはく, あなをほる, どくどく, こうそくいどう, ものまね, かげぶんしん, ひかりのかべ, リフレクター, スピードスター, フラッシュ, ねむる, みがわり, どろぼう, いびき, のろい, まもる, マッハパンチ, ギガドレイン, こらえる, ころがる, いばる, メロメロ, ねごと, おんがえし, やつあたり, しんぴのまもり, ばくれつパンチ, バトンタッチ, あまいかおり, めざめるパワー, にほんばれ, いわくだき, さわぐ, からげんき, きあいパンチ, かわらわり, はたきおとす, ひみつのちから, エアカッター, ぎんいろのかぜ, つばめがえし, はねやすめ, しぜんのめぐみ, おいかぜ, とんぼがえり, なげつける, エアスラッシュ, むしのさざめき, ドレインパンチ, きあいだま, ギガインパクト, きりばらい, ゆうわく, むしくい, あやしいかぜ, りんしょう, アクロバット, むしのていこう, ないしょばなし, まとわりつく, グロウパンチ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/166.png
167,spinarak,"むし, どく","むしのしらせ, ふみん, スナイパー",85,40,60,40,40,40,30,"のしかかり, すてみタックル, どくばり, ダブルニードル, ミサイルばり, ソニックブーム, かなしばり, サイケこうせん, すいとる, ソーラービーム, いとをはく, あなをほる, どくどく, サイコキネシス, こうそくいどう, ナイトヘッド, ものまね, いやなおと, かげぶんしん, からみつく, きゅうけつ, フラッシュ, みだれひっかき, ねむる, みがわり, どろぼう, クモのす, いびき, のろい, うらみ, まもる, こわいかお, ヘドロばくだん, ギガドレイン, こらえる, いばる, メロメロ, ねごと, おんがえし, やつあたり, メガホーン, バトンタッチ, おいうち, めざめるパワー, にほんばれ, からげんき, はたきおとす, ひみつのちから, シグナルビーム, とびはねる, しぜんのめぐみ, ふいうち, どくびし, どくづき, つじぎり, シザークロス, むしのさざめき, かげうち, クロスポイズン, ゆうわく, むしくい, つめとぎ, ベノムショック, いかりのこな, ヘドロウェーブ, アシッドボム, イカサマ, りんしょう, たたりめ, むしのていこう, エレキネット, ねばねばネット, ないしょばなし, まとわりつく, どくのいと, とびかかる, はいよるいちげき, テラバースト, とびつく, くさわけ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/167.png
168,ariados,"むし, どく","むしのしらせ, ふみん, スナイパー",335,70,90,70,60,70,40,"つるぎのまい, のしかかり, すてみタックル, どくばり, ミサイルばり, かなしばり, はかいこうせん, すいとる, ソーラービーム, いとをはく, あなをほる, どくどく, サイコキネシス, こうそくいどう, ナイトヘッド, ものまね, いやなおと, かげぶんしん, きあいだめ, からみつく, きゅうけつ, フラッシュ, みだれひっかき, ねむる, みがわり, どろぼう, クモのす, いびき, のろい, うらみ, まもる, こわいかお, ヘドロばくだん, ギガドレイン, こらえる, いばる, メロメロ, ねごと, おんがえし, やつあたり, メガホーン, バトンタッチ, めざめるパワー, にほんばれ, からげんき, はたきおとす, ひみつのちから, シグナルビーム, とびはねる, しぜんのめぐみ, ふいうち, どくびし, どくづき, つじぎり, シザークロス, むしのさざめき, ギガインパクト, かげうち, クロスポイズン, ゆうわく, むしくい, つめとぎ, ベノムショック, いかりのこな, ヘドロウェーブ, アシッドボム, イカサマ, りんしょう, たたりめ, むしのていこう, エレキネット, ねばねばネット, とどめばり, ないしょばなし, ベノムトラップ, まとわりつく, どくのいと, じごくづき, とびかかる, スマートホーン, じだんだ, はいよるいちげき, テラバースト, とびつく, くさわけ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/168.png
169,crobat,"どく, ひこう","せいしんりょく, すりぬけ",750,85,90,80,70,80,130,"かぜおこし, つばさでうつ, そらをとぶ, すてみタックル, かみつく, ちょうおんぱ, はかいこうせん, すいとる, どくどく, さいみんじゅつ, こうそくいどう, ものまね, いやなおと, かげぶんしん, あやしいひかり, くろいきり, スピードスター, きゅうけつ, ゴッドバード, ねむる, いかりのまえば, みがわり, どろぼう, いびき, のろい, まもる, ヘドロばくだん, みきり, ギガドレイン, こらえる, いばる, はがねのつばさ, くろいまなざし, メロメロ, ねごと, おんがえし, やつあたり, めざめるパワー, たつまき, あまごい, にほんばれ, かみくだく, シャドーボール, さわぐ, ねっぷう, いちゃもん, からげんき, ちょうはつ, よこどり, ひみつのちから, どくどくのキバ, おどろかす, エアカッター, つばめがえし, はねやすめ, しぜんのめぐみ, ついばむ, おいかぜ, とんぼがえり, しっぺがえし, ダメおし, あくのはどう, エアスラッシュ, シザークロス, ブレイブバード, ギガインパクト, わるだくみ, しねんのずつき, きりばらい, クロスポイズン, ゆうわく, あやしいかぜ, ベノムショック, りんしょう, ファストガード, たたりめ, アクロバット, ぼうふう, ないしょばなし, ベノムトラップ, ダブルウイング",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/169.png
170,chinchou,"みず, でんき","ちくでん, はっこう, ちょすい",120,75,38,38,56,56,67,"とっしん, すてみタックル, ちょうおんぱ, しろいきり, みずでっぽう, ハイドロポンプ, なみのり, れいとうビーム, ふぶき, サイケこうせん, バブルこうせん, １０まんボルト, でんじは, かみなり, どくどく, こうそくいどう, ものまね, いやなおと, かげぶんしん, あやしいひかり, たきのぼり, ドわすれ, あわ, フラッシュ, ねむる, みがわり, いびき, のろい, じたばた, まもる, でんじほう, こごえるかぜ, こらえる, いばる, スパーク, メロメロ, ねごと, いやしのすず, おんがえし, やつあたり, めざめるパワー, あまごい, うずしお, あられ, からげんき, じゅうでん, ひみつのちから, ダイビング, シグナルビーム, だくりゅう, とびはねる, でんげきは, みずのはどう, しおみず, しぜんのめぐみ, ふいうち, アクアリング, ほうでん, ゆうわく, チャージビーム, エレキボール, みずびたし, りんしょう, ねっとう, ボルトチェンジ, エレキネット, ワイルドボルト, プラズマシャワー, ないしょばなし, かいでんぱ, エレキフィールド, マジカルシャイン, アクアブレイク, ライジングボルト, クイックターン, テラバースト, ひやみず",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/170.png
171,lanturn,"みず, でんき","ちくでん, はっこう, ちょすい",225,125,58,58,76,76,67,"とっしん, すてみタックル, ちょうおんぱ, しろいきり, みずでっぽう, ハイドロポンプ, なみのり, れいとうビーム, ふぶき, サイケこうせん, バブルこうせん, はかいこうせん, １０まんボルト, でんじは, かみなり, どくどく, こうそくいどう, ものまね, いやなおと, かげぶんしん, あやしいひかり, たきのぼり, ドわすれ, あわ, フラッシュ, ねむる, みがわり, いびき, のろい, じたばた, まもる, でんじほう, こごえるかぜ, こらえる, いばる, スパーク, メロメロ, ねごと, いやしのすず, おんがえし, やつあたり, めざめるパワー, あまごい, うずしお, たくわえる, はきだす, のみこむ, あられ, からげんき, じゅうでん, ひみつのちから, ダイビング, シグナルビーム, だくりゅう, とびはねる, でんげきは, みずのはどう, しおみず, しぜんのめぐみ, ふいうち, アクアリング, アクアテール, ギガインパクト, ほうでん, ゆうわく, チャージビーム, エレキボール, みずびたし, りんしょう, ねっとう, ボルトチェンジ, エレキネット, ワイルドボルト, プラズマシャワー, ないしょばなし, かいでんぱ, エレキフィールド, マジカルシャイン, スポットライト, アクアブレイク, ライジングボルト, クイックターン, テラバースト, ひやみず",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/171.png
172,pichu,でんき,"せいでんき, ひらいしん",20,20,40,15,35,35,60,"おうふくビンタ, メガトンパンチ, かみなりパンチ, メガトンキック, ずつき, のしかかり, とっしん, すてみタックル, しっぽをふる, なみのり, カウンター, ちきゅうなげ, でんきショック, １０まんボルト, でんじは, かみなり, どくどく, でんこうせっか, ものまね, かげぶんしん, まるくなる, ひかりのかべ, リフレクター, がまん, スピードスター, フラッシュ, ねむる, みがわり, いびき, のろい, じたばた, きしかいせい, まもる, てんしのキッス, どろかけ, でんじほう, みきり, こらえる, あまえる, ころがる, いばる, スパーク, メロメロ, ねごと, おんがえし, プレゼント, やつあたり, アンコール, アイアンテール, めざめるパワー, あまごい, ねこだまし, さわぐ, からげんき, このゆびとまれ, じゅうでん, てだすけ, ねがいごと, ひみつのちから, くすぐる, シグナルビーム, ほしがる, ボルテッカー, でんげきは, しぜんのめぐみ, なげつける, おまじない, でんじふゆう, わるだくみ, ゆうわく, くさむすび, チャージビーム, エレキボール, りんしょう, エコーボイス, ギフトパス, ボルトチェンジ, エレキネット, ワイルドボルト, チャームボイス, じゃれつく, なかよくする, ないしょばなし, エレキフィールド, ほっぺすりすり, テラバースト, くさわけ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/172.png
173,cleffa,フェアリー,"メロメロボディ, マジックガード, フレンドガード",30,50,25,28,45,55,15,"はたく, メガトンパンチ, メガトンキック, ずつき, たいあたり, のしかかり, すてみタックル, うたう, かえんほうしゃ, サイケこうせん, カウンター, ちきゅうなげ, ソーラービーム, でんじは, あなをほる, どくどく, サイコキネシス, ものまね, かげぶんしん, まるくなる, ひかりのかべ, リフレクター, ゆびをふる, だいもんじ, スピードスター, ドわすれ, タマゴうみ, ゆめくい, フラッシュ, はねる, ねむる, みがわり, あくむ, いびき, のろい, まもる, てんしのキッス, はらだいこ, どろかけ, でんじほう, こごえるかぜ, みきり, こらえる, あまえる, ころがる, いばる, メロメロ, ねごと, おんがえし, プレゼント, やつあたり, しんぴのまもり, アンコール, アイアンテール, めざめるパワー, あまごい, にほんばれ, じこあんじ, シャドーボール, さわぐ, からげんき, てだすけ, トリック, なりきり, ねがいごと, マジックコート, リサイクル, がむしゃら, ひみつのちから, ハイパーボイス, アロマセラピー, うそなき, くすぐる, シグナルビーム, ほしがる, マジカルリーフ, めいそう, でんげきは, みずのはどう, じゅうりょく, しぜんのめぐみ, なげつける, まねっこ, とっておき, しねんのずつき, ゆうわく, くさむすび, ワンダールーム, サイコショック, テレキネシス, おさきにどうぞ, りんしょう, エコーボイス, アシストパワー, いやしのはどう, やきつくす, ふるいたてる, チャームボイス, ドレインキッス, ミストフィールド, じゃれつく, ようせいのかぜ, ムーンフォース, ないしょばなし, マジカルシャイン, つぶらなひとみ, テラバースト, ひやみず, みわくのボイス",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/173.png
174,igglybuff,"ノーマル, フェアリー","メロメロボディ, かちき, フレンドガード",10,90,30,15,40,20,15,"はたく, メガトンパンチ, メガトンキック, ずつき, のしかかり, とっしん, すてみタックル, うたう, かなしばり, かえんほうしゃ, カウンター, ちきゅうなげ, ソーラービーム, でんじは, あなをほる, どくどく, サイコキネシス, ものまね, いやなおと, かげぶんしん, まるくなる, ひかりのかべ, リフレクター, だいもんじ, スピードスター, ゆめくい, フラッシュ, ねむる, みがわり, あくむ, いびき, のろい, まもる, だましうち, てんしのキッス, どろかけ, でんじほう, ほろびのうた, こごえるかぜ, みきり, こらえる, あまえる, ころがる, いばる, メロメロ, ねごと, いやしのすず, おんがえし, プレゼント, やつあたり, しんぴのまもり, いたみわけ, アンコール, めざめるパワー, あまごい, にほんばれ, じこあんじ, シャドーボール, さわぐ, からげんき, てだすけ, なりきり, ねがいごと, マジックコート, リサイクル, がむしゃら, ひみつのちから, ハイパーボイス, うそなき, とびはねる, ほしがる, でんげきは, みずのはどう, じゅうりょく, しぜんのめぐみ, なげつける, まねっこ, おしおき, とっておき, ゆうわく, くさむすび, りんしょう, エコーボイス, いやしのはどう, やきつくす, ふるいたてる, ワイルドボルト, チャームボイス, ドレインキッス, ミストフィールド, じゃれつく, ないしょばなし, マジカルシャイン, テラバースト, くさわけ, みわくのボイス",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/174.png
175,togepi,フェアリー,"はりきり, てんのめぐみ, きょううん",15,35,20,65,40,65,20,"はたく, メガトンパンチ, メガトンキック, ずつき, たいあたり, のしかかり, すてみタックル, なきごえ, かえんほうしゃ, つつく, カウンター, ちきゅうなげ, ソーラービーム, でんじは, どくどく, サイコキネシス, ものまね, かげぶんしん, まるくなる, ひかりのかべ, リフレクター, ゆびをふる, オウムがえし, だいもんじ, スピードスター, タマゴうみ, ゆめくい, フラッシュ, ねむる, トライアタック, みがわり, いびき, のろい, まもる, てんしのキッス, どろかけ, でんじほう, みやぶる, みきり, こらえる, あまえる, ころがる, いばる, メロメロ, ねごと, いやしのすず, おんがえし, プレゼント, やつあたり, しんぴのまもり, バトンタッチ, アンコール, あさのひざし, めざめるパワー, あまごい, にほんばれ, じこあんじ, げんしのちから, シャドーボール, みらいよち, いわくだき, さわぐ, からげんき, このゆびとまれ, てだすけ, トリック, ねがいごと, マジックコート, あくび, がむしゃら, ひみつのちから, ハイパーボイス, シグナルビーム, じんつうりき, つばめがえし, ほしがる, めいそう, でんげきは, みずのはどう, しぜんのめぐみ, なげつける, サイコシフト, おまじない, とっておき, わるだくみ, しねんのずつき, ゆうわく, くさむすび, サイコショック, テレキネシス, おさきにどうぞ, りんしょう, エコーボイス, アシストパワー, やきつくす, ギフトパス, ふるいたてる, ドレインキッス, じゃれつく, ようせいのかぜ, ムーンフォース, ないしょばなし, マジカルフレイム, マジカルシャイン, つぶらなひとみ, いのちのしずく",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/175.png
176,togetic,"フェアリー, ひこう","はりきり, てんのめぐみ, きょううん",32,55,40,85,80,105,40,"はたく, メガトンパンチ, そらをとぶ, メガトンキック, ずつき, たいあたり, のしかかり, すてみタックル, なきごえ, かえんほうしゃ, はかいこうせん, カウンター, ちきゅうなげ, ソーラービーム, でんじは, どくどく, サイコキネシス, ものまね, かげぶんしん, まるくなる, ひかりのかべ, リフレクター, ゆびをふる, だいもんじ, スピードスター, タマゴうみ, ゆめくい, ゴッドバード, フラッシュ, ねむる, トライアタック, みがわり, いびき, のろい, まもる, てんしのキッス, どろかけ, でんじほう, みきり, こらえる, あまえる, ころがる, いばる, はがねのつばさ, メロメロ, ねごと, いやしのすず, おんがえし, やつあたり, しんぴのまもり, バトンタッチ, アンコール, めざめるパワー, たつまき, あまごい, にほんばれ, じこあんじ, げんしのちから, シャドーボール, みらいよち, いわくだき, さわぐ, ねっぷう, からげんき, きあいパンチ, このゆびとまれ, てだすけ, トリック, ねがいごと, マジックコート, かわらわり, あくび, がむしゃら, ふういん, ひみつのちから, ハイパーボイス, エアカッター, ぎんいろのかぜ, シグナルビーム, じんつうりき, つばめがえし, ほしがる, マジカルリーフ, めいそう, でんげきは, みずのはどう, はねやすめ, しぜんのめぐみ, おいかぜ, なげつける, とっておき, エアスラッシュ, ドレインパンチ, ギガインパクト, わるだくみ, しねんのずつき, きりばらい, ゆうわく, くさむすび, あやしいかぜ, サイコショック, テレキネシス, おさきにどうぞ, りんしょう, エコーボイス, アシストパワー, やきつくす, かたきうち, ギフトパス, ふるいたてる, ドレインキッス, じゃれつく, ようせいのかぜ, ムーンフォース, ないしょばなし, マジカルフレイム, マジカルシャイン, つぶらなひとみ, スマートホーン, いのちのしずく, ダブルウイング",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/176.png
177,natu,"エスパー, ひこう","シンクロ, はやおき, マジックミラー",20,40,50,45,70,45,70,"すてみタックル, にらみつける, つつく, ドリルくちばし, ソーラービーム, でんじは, どくどく, サイコキネシス, でんこうせっか, テレポート, ナイトヘッド, ものまね, かげぶんしん, あやしいひかり, ひかりのかべ, くろいきり, リフレクター, スピードスター, ゆめくい, ゴッドバード, フラッシュ, ねむる, みがわり, どろぼう, あくむ, いびき, のろい, まもる, だましうち, みきり, ギガドレイン, こらえる, いばる, はがねのつばさ, メロメロ, ねごと, おんがえし, やつあたり, いたみわけ, バトンタッチ, めざめるパワー, たつまき, あまごい, にほんばれ, じこあんじ, シャドーボール, みらいよち, ねっぷう, からげんき, トリック, ねがいごと, マジックコート, スキルスワップ, ふういん, リフレッシュ, ひみつのちから, フェザーダンス, エアカッター, ぎんいろのかぜ, コスモパワー, シグナルビーム, つばめがえし, めいそう, はねやすめ, ミラクルアイ, しぜんのめぐみ, ついばむ, おいかぜ, とんぼがえり, サイコシフト, おまじない, さきどり, パワースワップ, ガードスワップ, ふいうち, エアスラッシュ, しねんのずつき, トリックルーム, ゆうわく, くさむすび, あやしいかぜ, サイコショック, テレキネシス, マジックルーム, シンクロノイズ, シンプルビーム, りんしょう, アシストパワー, サイドチェンジ, ないしょばなし, マジカルシャイン, ワイドフォース, ダブルウイング",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/177.png
178,xatu,"エスパー, ひこう","シンクロ, はやおき, マジックミラー",150,65,75,70,95,70,95,"そらをとぶ, すてみタックル, にらみつける, はかいこうせん, つつく, ソーラービーム, でんじは, どくどく, サイコキネシス, テレポート, ナイトヘッド, ものまね, かげぶんしん, あやしいひかり, ひかりのかべ, リフレクター, スピードスター, ゆめくい, ゴッドバード, フラッシュ, ねむる, みがわり, どろぼう, あくむ, いびき, のろい, まもる, みきり, ギガドレイン, こらえる, いばる, はがねのつばさ, メロメロ, ねごと, おんがえし, やつあたり, いたみわけ, バトンタッチ, めざめるパワー, たつまき, あまごい, にほんばれ, じこあんじ, シャドーボール, みらいよち, ねっぷう, からげんき, トリック, ねがいごと, マジックコート, スキルスワップ, ふういん, ひみつのちから, エアカッター, ぎんいろのかぜ, コスモパワー, シグナルビーム, つばめがえし, めいそう, はねやすめ, ミラクルアイ, しぜんのめぐみ, ついばむ, おいかぜ, とんぼがえり, サイコシフト, おまじない, さきどり, パワースワップ, ガードスワップ, ふいうち, エアスラッシュ, ギガインパクト, しねんのずつき, きりばらい, トリックルーム, ゆうわく, くさむすび, あやしいかぜ, サイコショック, テレキネシス, マジックルーム, イカサマ, りんしょう, アシストパワー, サイドチェンジ, ないしょばなし, マジカルシャイン, とぎすます, ワイドフォース, ダブルウイング",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/178.png
179,mareep,でんき,"せいでんき, プラス",78,55,40,40,65,45,35,"すなかけ, ずつき, たいあたり, のしかかり, とっしん, すてみタックル, なきごえ, でんきショック, １０まんボルト, でんじは, かみなり, あなをほる, どくどく, こうそくいどう, ものまね, いやなおと, かげぶんしん, あやしいひかり, まるくなる, ひかりのかべ, リフレクター, スピードスター, フラッシュ, ねむる, みがわり, いびき, のろい, わたほうし, まもる, でんじほう, こらえる, いばる, メロメロ, ねごと, いやしのすず, おんがえし, やつあたり, しんぴのまもり, アイアンテール, めざめるパワー, あまごい, にほんばれ, おだてる, からげんき, じゅうでん, てだすけ, がむしゃら, ひみつのちから, かぎわける, シグナルビーム, でんげきは, しぜんのめぐみ, でんじふゆう, パワージェム, ほうでん, ゆうわく, チャージビーム, エレキボール, おさきにどうぞ, りんしょう, エコーボイス, ボルトチェンジ, エレキネット, ワイルドボルト, コットンガード, ないしょばなし, かいでんぱ, エレキフィールド, マジカルシャイン, テラバースト, くさわけ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/179.png
180,flaaffy,でんき,"せいでんき, プラス",133,70,55,55,80,60,45,"メガトンパンチ, ほのおのパンチ, れいとうパンチ, かみなりパンチ, メガトンキック, ずつき, たいあたり, のしかかり, とっしん, すてみタックル, なきごえ, ほえる, けたぐり, カウンター, ちきゅうなげ, かいりき, でんきショック, １０まんボルト, でんじは, かみなり, あなをほる, どくどく, こうそくいどう, ものまね, かげぶんしん, あやしいひかり, まるくなる, ひかりのかべ, リフレクター, スピードスター, フラッシュ, ねむる, みがわり, いびき, のろい, わたほうし, まもる, でんじほう, こらえる, いばる, メロメロ, ねごと, いやしのすず, おんがえし, やつあたり, しんぴのまもり, ばくれつパンチ, アイアンテール, めざめるパワー, あまごい, にほんばれ, いわくだき, からげんき, きあいパンチ, じゅうでん, てだすけ, かわらわり, がむしゃら, ひみつのちから, シグナルビーム, でんげきは, しぜんのめぐみ, なげつける, でんじふゆう, パワージェム, ほうでん, ゆうわく, チャージビーム, エレキボール, おさきにどうぞ, りんしょう, エコーボイス, ボルトチェンジ, エレキネット, ワイルドボルト, コットンガード, ないしょばなし, かいでんぱ, エレキフィールド, マジカルシャイン, グロウパンチ, テラバースト, くさわけ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/180.png
